interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
133.2,133.2,133.2,133.2,133.2,133.2
130.7,130.7,130.7,130.7,133.2,130.7
124.8,124.8,117.3,124.8,133.2,117.3
124.8,124.8,117.3,124.8,133.2,117.3
124.8,124.8,117.3,124.8,133.2,117.3
133.2,133.2,117.3,133.2,133.2,117.3
165.4,165.4,133.2,165.4,133.2,133.2
169.3,169.3,169.3,169.3,133.2,169.3
179.9,179.9,179.9,179.9,133.2,179.9
169.3,169.3,169.3,169.3,133.2,169.3
171.0,171.0,158.3,171.0,133.2,158.2
166.3,166.2,152.7,166.2,133.2,152.7
165.4,165.4,133.3,165.4,133.2,133.3
165.4,165.4,133.2,165.4,133.2,133.2
165.8,165.8,133.2,165.8,133.2,133.2
169.3,169.3,133.2,169.3,133.2,133.2
171.0,171.0,133.2,171.0,133.2,133.2
171.0,171.0,169.3,171.0,133.2,169.3
167.1,167.1,167.1,167.1,133.2,167.1
165.4,165.4,165.4,165.4,133.2,165.4
137.3,137.2,137.2,137.2,133.2,137.2
133.2,133.2,133.2,133.2,133.2,133.2
133.2,133.2,112.7,133.2,133.2,133.2
133.2,133.2,112.7,133.2,133.2,133.2
110.8,110.8,36.0,36.0,36.0,110.8
110.8,110.8,53.1,53.1,36.0,110.8
107.0,107.0,36.0,36.0,36.0,107.0
95.2,95.2,36.0,36.0,36.0,95.2
95.2,95.2,36.0,36.0,36.0,95.2
95.2,95.2,36.0,36.0,36.0,95.2
95.2,95.2,36.0,36.0,36.0,95.2
95.2,95.2,36.0,36.0,36.0,95.2
95.2,95.2,86.1,86.1,36.0,95.2
95.2,95.2,95.2,95.1,36.0,95.2
95.2,95.2,95.2,95.2,36.0,95.2
95.2,95.2,95.2,95.1,36.0,95.2
95.2,95.2,95.2,95.2,36.0,95.2
95.2,95.2,95.2,95.1,36.0,95.2
107.0,95.2,95.2,95.2,36.0,95.2
